Ticker,Market_Cap,Last_Updated
TARS,2055603200,2025-03-20
EVCM,1832055936,2025-03-20
HLLY,297162496,2025-03-20
BDTX,106524936,2025-03-20
ORA,4357253120,2025-03-20
OABI,277246432,2025-03-20
AVAH,1065213248,2025-03-20
SMC,454408800,2025-03-20
TEAM,59253919744,2025-03-20
ADVM,116494000,2025-03-20
OPFI,1090099968,2025-03-20
STAA,883911168,2025-03-20
RNAC,412700096,2025-03-20
AVR,207013264,2025-03-20
BMRN,13659632640,2025-03-20
WSC,5558651392,2025-03-20
SERV,394443104,2025-03-20
JOE,2729096960,2025-03-20
BLFS,1175484416,2025-03-20
FNA,1093699072,2025-03-20
UPWK,1821937024,2025-03-20
TDUP,283515808,2025-03-20
MXCT,339053856,2025-03-20
HFFG,187218832,2025-03-20
SFM,13779281920,2025-03-20
ASAN,3263050240,2025-03-20
LPSN,83369680,2025-03-20
EOLS,842525120,2025-03-20
ARQT,1989559296,2025-03-20
HBM,3288230400,2025-03-20
META,1484724764672,2025-03-20
DVAX,1689847040,2025-03-20
STOK,450467232,2025-03-20
UTHR,14084466688,2025-03-20
BLK,148137738240,2025-03-20
ECAT,1611388800,2025-03-20
RNGR,322667040,2025-03-20
GSAT,2733697792,2025-03-20
RRC,9718400000,2025-03-20
RBRK,13002276864,2025-03-20
ONTF,227709584,2025-03-20
ABNB,78382047232,2025-03-20
METC,476641184,2025-03-20
EVER,1002058176,2025-03-20
OKTA,19582418944,2025-03-20
GAP,7678053888,2025-03-20
DOCU,17233924096,2025-03-20
FLWS,360618816,2025-03-20
CULP,66940004,2025-03-20
INTU,167854604288,2025-03-20
ROIV,7827632640,2025-03-20
XERS,835894144,2025-03-20
SOUN,3826045440,2025-03-20
SUNS,152602448,2025-03-20
BEKE,26845480960,2025-03-20
MSGS,4747957760,2025-03-20
SSSS,138485168,2025-03-20
GWRE,16227561472,2025-03-20
CLYM,86144000,2025-03-20
TJX,130683600896,2025-03-20
FCF,1599529344,2025-03-20
EWBC,12444371968,2025-03-20
ZS,31494273024,2025-03-20
AVO,714271616,2025-03-20
GH,5519387136,2025-03-20
DXR,41397772,2025-03-20
VTOL,919373568,2025-03-20
BURL,14952312832,2025-03-20
GL,10705025024,2025-03-20
PHR,1622706048,2025-03-20
PINS,21310205952,2025-03-20
ULY,5466256,2025-03-20
GNTY,458093632,2025-03-20
MKZR,26800146,2025-03-20
NN,1556391680,2025-03-20
CARG,3118906112,2025-03-20
ONC,28788004864,2025-03-20
TASK,1218556672,2025-03-20
ATRO,880329984,2025-03-20
V,654898888704,2025-03-20
SHIM,57232904,2025-03-20
AMBA,2278597376,2025-03-20
ADI,102121455616,2025-03-20
